"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NP155","NP156","NP002","NP166","NP170","NP168","NP005","NP006","NP059","NP007","NP009","NP014","NP015","NP016","NP017","NP123","NP018","NP181","NP182","NP020","NP028","NP102","NP029","NP157","NP107","NP175","NP176","NP177","NP178","NP032","NP110","NP179","NP111","NP112","NP183","NP047","NP113","NP149","NP150","NP180","NP097","NP041","NP042","NP043","NP044","NP185","NP056","NVDATE","NVERSION","year"
"403","077751","010","0","0","020",1,1,1,3,3,1,998,1,998,998,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,"12"
"404","077751","020","0","0","010",5,5,5,3,3,1,NA,NA,NA,999,NA,NA,NA,0,NA,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,"12"
"405","077766","010","0","0","011",1,1,1,15,0,1,50,1,50,90,50,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,20,NA,20,20,20,80,NA,20,NA,90,80,NA,2,80,75,2,NA,1,1,NA,2,1,4,2,"12"
"406","077921","010","0","0","020",1,1,5,13,1,1,NA,NA,NA,100,100,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,70,100,NA,100,5,100,50,1,50,NA,50,998,NA,1,NA,NA,3,NA,1,1,NA,3,1,1,2,"12"
"407","077921","020","0","0","010",5,5,1,17,0,1,50,1,0,100,80,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,50,100,NA,10,0,30,60,NA,50,NA,50,100,NA,2,20,NA,2,NA,1,5,NA,2,1,2,2,"12"
"408","078310","010","0","0",NA,1,1,1,13,0,1,10,1,0,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,10,NA,0,NA,0,0,NA,NA,NA,0,10,NA,2,10,0,3,NA,1,1,NA,3,1,3,2,"12"
"409","078747","010","0","0","020",1,1,1,14,0,1,NA,NA,NA,60,60,40,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,100,NA,100,60,70,50,1,40,NA,40,50,1,2,40,40,3,NA,3,NA,NA,3,1,3,2,"12"
"410","078747","020","0","0","010",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"12"
"411","079226","020","1","1","021",1,1,1,16,0,1,10,1,10,10,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,50,NA,75,50,0,80,NA,80,NA,100,10,NA,2,0,25,3,NA,1,1,NA,2,1,3,2,"12"
"412","079226","021","1","1","020",5,5,5,12,0,1,NA,NA,NA,100,20,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10,10,NA,0,NA,20,50,1,50,NA,70,50,2,1,NA,NA,3,NA,1,5,NA,2,1,3,2,"12"
"413","079226","030","2","2",NA,1,1,1,13,5,1,NA,NA,NA,0,NA,NA,90,1,100,998,NA,NA,NA,NA,NA,NA,50,NA,NA,998,NA,998,998,NA,NA,NA,0,998,NA,50,NA,50,35,NA,2,10,10,2,NA,1,1,NA,2,1,4,2,"12"
"414","080115","010","0","0","020",1,5,1,15,0,1,30,2,100,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,100,NA,0,NA,0,50,2,70,NA,70,100,NA,2,75,NA,2,NA,1,1,NA,3,1,4,2,"12"
"415","080115","020","0","0","010",5,1,5,14,0,1,NA,NA,NA,90,100,5,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,25,NA,10,5,10,50,2,50,NA,40,40,NA,2,25,40,3,NA,1,1,NA,1,1,4,2,"12"
